Region,Latitude,Longitude,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18
Thames Valley,51.500000,-1.000000,3483.23,3729.32,3809.27,3436.59,3175.83,3194.92,2959.58,2824.59,1491.45,1867.66,385.43,275.54
Avon & Somerset,51.180000,-3.000000,3383.10,3779.70,4092.50,4038.89,4327.33,4791.78,4441.14,3725.47,2513.04,2475.67,2250.83,1811.22
Devon & Cornwall,50.376289,-4.143841,2988.58,2822.41,2456.13,1706.40,1735.68,2685.05,2687.70,2304.37,1892.88,1500.39,2514.55,2317.77
Dorset,50.750000,-2.333330,2159.15,2381.90,2575.48,2605.01,2644.71,2821.54,2753.57,2501.12,2481.02,2881.11,2290.50,2579.51
Gloucestershire,51.833330,-2.166666,2312.72,3093.53,3927.78,3932.39,3326.06,3503.32,3583.77,2815.14,2340.79,2255.49,2216.23,2214.48
Wiltshire,51.318499,-2.205333,1095.47,867.67,1460.49,1695.77,1999.59,2482.35,2450.82,2498.30,1562.36,2175.60,3264.84,1323.27
Dyfed-Powys,52.398000,-3.513000,4679.06,4291.09,4373.52,5135.30,5605.44,6513.41,6503.34,6178.73,5320.67,4683.34,3816.85,3479.41
Gwent,51.789000,-3.018000,3219.12,3565.04,4038.41,3680.23,3945.87,4313.12,3981.10,3533.06,2213.99,2201.83,1847.18,1696.32
North Wales,52.937000,-3.659000,2840.74,3493.82,3707.64,3565.72,3179.71,2533.35,2275.38,2518.84,2414.85,2000.08,1556.43,1693.27
South Wales,51.683331,-3.383332,3709.91,5235.08,5326.11,4918.72,4724.15,4520.29,3962.61,3585.35,3355.28,3170.73,2754.07,2581.58
